City,Latitude,Longitudes,Max Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Country,Date
Libenge,3.65,18.63,70.54,92,100,5.91,CD,1600651060
Nemuro,43.32,145.57,64.4,88,75,7.52,JP,1600651060
Genhe,50.78,121.52,46.96,76,100,6.96,CN,1600651060
Lipin Bor,60.26,37.98,48.22,89,100,47.18,RU,1600651061
Deputatsky,69.3,139.9,45.77,62,0,2.46,RU,1600651022
Henties Bay,-22.12,14.28,51.01,90,5,19.01,NA,1600651000
Gushikawa,26.35,127.87,84.2,78,90,31.03,JP,1600651061
Brigantine,39.41,-74.36,60.01,66,1,13.02,US,1600651061
Anadyr,64.75,177.48,46.4,65,98,20.02,RU,1600651062
Dibulla,11.27,-73.31,79.12,84,100,15.9,CO,1600651062
Porto Belo,-27.16,-48.55,60.8,67,75,18.01,BR,1600651018
Avarua,-21.21,-159.78,78.8,83,100,7.52,CK,1600650847
Chibombo,-14.66,28.07,65.82,32,0,16.96,ZM,1600651062
Joaíma,-16.65,-41.03,69.91,66,25,7.2,BR,1600651063
Gorontalo,0.54,123.06,86.99,59,20,5.61,ID,1600651040
Sibu,2.3,111.82,78.8,88,20,15.5,MY,1600651063
Lagos,37.1,-8.67,69.8,68,100,5.01,PT,1600650947
Forestville,48.74,-69.08,37.4,70,5,13.02,CA,1600651063
Smoky Lake,54.12,-112.47,62.01,61,100,20.42,CA,1600651064
Madurai,9.93,78.12,77.0,88,75,13.02,IN,1600650910
Cidreira,-30.18,-50.21,51.06,52,0,7.61,BR,1600651064
Denton,33.2,-97.13,78.01,71,5,17.52,US,1600651064
Xining,36.62,101.77,52.25,77,100,5.1,CN,1600651065
Dunedin,-45.87,170.5,52.0,84,0,24.63,NZ,1600651065
Kerrville,30.05,-99.14,77.0,33,1,10.51,US,1600651004
Waingapu,-9.66,120.26,86.86,56,27,20.71,ID,1600651065
Clyde River,70.47,-68.59,19.4,92,1,7.52,CA,1600650998
Mahajanga,-15.72,46.32,69.8,68,20,10.51,MG,1600651041
Litovko,49.24,135.17,55.76,67,0,8.16,RU,1600651066
Foumban,5.73,10.9,63.01,100,100,5.35,CM,1600651066
Nuevitas,21.55,-77.26,82.4,69,78,15.5,CU,1600651066
Ixtapa,20.7,-105.2,82.4,83,75,6.67,MX,1600650975
Portland,-38.33,141.6,58.17,59,0,29.12,AU,1600651024
Castro,-42.47,-73.77,46.99,26,100,3.44,CL,1600651009
Cape Town,-33.93,18.42,53.01,66,40,13.02,ZA,1600651067
Kaeo,-35.1,173.78,62.01,66,48,13.4,NZ,1600651067
Zhangye,38.93,100.45,62.04,66,100,11.81,CN,1600650860
Porto Novo,17.02,-25.06,82.4,78,75,23.02,CV,1600651067
Hofn,64.25,-15.21,44.47,60,0,27.96,IS,1600651018
San Miguel,-10.85,-65.44,78.57,77,100,4.25,BO,1600651067
Shimoda,34.67,138.95,69.8,94,75,7.52,JP,1600651068
Shakhun'ya,57.68,46.61,38.7,95,100,21.12,RU,1600651068
Cairns,-16.92,145.77,82.4,61,75,18.01,AU,1600650839
Lisala,2.15,21.52,70.14,96,100,3.8,CD,1600651068
Kupang,-10.17,123.58,85.37,68,33,21.07,ID,1600651069
Sibolga,1.74,98.78,77.52,83,100,5.26,ID,1600651069
El Alto,-4.27,-81.21,61.45,92,96,39.68,PE,1600651069
Taguatinga,-12.39,-46.57,82.54,26,0,6.35,BR,1600651069
Champerico,14.3,-91.92,75.2,94,90,15.5,GT,1600651040
Taoudenni,22.68,-3.98,93.34,26,0,23.87,ML,1600651070
Kuruman,-27.45,23.43,51.01,29,99,29.42,ZA,1600651070
Al Bardīyah,31.76,25.09,74.44,82,27,37.94,LY,1600651070
Darnah,32.77,22.64,73.87,73,5,40.13,LY,1600651071
San Jeronimo,29.37,-110.79,102.2,31,40,38.52,MX,1600651071
Kavieng,-2.57,150.8,85.41,72,90,25.93,PG,1600651024
Aklavik,68.22,-135.01,37.4,71,90,13.02,CA,1600651071
Roald,62.58,6.13,59.0,72,100,56.55,NO,1600651071
Lapeer,43.05,-83.32,50.0,81,1,19.3,US,1600651072
Atuona,-9.8,-139.03,78.15,78,14,40.78,PF,1600650978
São João da Barra,-21.64,-41.05,71.94,89,72,17.47,BR,1600651072
Challans,46.84,-1.87,64.4,100,90,5.01,FR,1600651072
Butaritari,3.07,172.79,81.81,77,1,36.69,KI,1600650987
Bredasdorp,-34.53,20.04,50.0,93,100,7.52,ZA,1600651073
Coquimbo,-29.95,-71.34,53.6,87,1,7.52,CL,1600651073
Lagoa,39.05,-27.98,66.33,77,100,41.38,PT,1600651073
Manzanillo,19.05,-104.32,86.0,74,75,46.53,MX,1600651073
Bogatyye Saby,56.01,50.45,41.61,87,100,29.57,RU,1600651073
Sangar,63.92,127.47,50.67,56,0,4.7,RU,1600651074
Viedma,-40.81,-63.0,38.5,76,0,10.47,AR,1600651074
Bonfim,3.08,-59.95,83.16,61,0,7.81,BR,1600651074
Bima,-8.47,118.72,88.7,53,80,14.36,ID,1600651074
Najrān,17.49,44.13,75.2,23,9,6.55,SA,1600651075
Kandalaksha,67.16,32.41,37.26,89,67,9.01,RU,1600651075
Aksu,41.12,80.26,55.62,63,0,2.46,CN,1600651021
Tasiilaq,65.61,-37.64,26.98,88,100,12.3,GL,1600650995
Zeya,53.75,127.27,56.23,55,100,5.21,RU,1600651075
Dinghaicun,26.28,119.79,75.2,73,90,15.01,CN,1600651076
Makakilo City,21.35,-158.09,89.6,46,75,23.02,US,1600651008
Kindu,-2.95,25.95,70.21,94,100,3.85,CD,1600651076
Talara,-4.58,-81.27,62.64,89,97,35.39,PE,1600651076
Balsas,-7.53,-46.04,81.99,41,0,11.25,BR,1600651076
Indian Head,50.53,-103.67,57.99,90,92,2.26,CA,1600651077
Verāval,20.9,70.37,80.56,83,100,25.68,IN,1600651077
Kang,-23.68,22.79,64.0,26,0,20.31,BW,1600651077
Bandarbeyla,9.49,50.81,76.23,78,34,50.49,SO,1600651077
Mehamn,71.04,27.85,42.94,81,81,36.82,NO,1600651023
Tabou,4.42,-7.35,75.85,89,98,22.37,CI,1600651012
Saldanha,-33.01,17.94,46.4,81,83,7.52,ZA,1600651078
Stromness,58.97,-3.3,51.8,93,100,10.51,GB,1600651078
Saskylakh,71.92,114.08,46.31,82,99,20.11,RU,1600651078
Geraldton,-28.77,114.6,59.0,67,75,13.02,AU,1600651079
Hollins,37.34,-79.94,55.0,78,0,8.37,US,1600651042
Esmeraldas,-1.87,-79.8,77.0,69,20,25.52,EC,1600651079
Srandakan,-7.94,110.25,82.63,68,72,20.47,ID,1600651079
Batagay,67.63,134.63,50.86,59,0,5.7,RU,1600651079
Springdale,49.5,-56.06,39.99,80,0,11.01,CA,1600651080
Rawson,-43.3,-65.1,43.93,64,0,12.62,AR,1600651080
